1,0.035896,28.1
2,0.033919,56.2
3,0.033447,84.5
4,0.033087,112.8
5,0.032762,140.9
6,0.032529,168.9
7,0.032374,197.0
8,0.032256,228.7
9,0.032170,256.8
10,0.032091,285.0
11,0.032011,313.6
12,0.031934,341.6
13,0.031884,369.7
14,0.031838,397.8
15,0.031796,426.1
16,0.031760,454.2
17,0.031735,482.2
18,0.031717,510.4
19,0.031697,538.5
20,0.031670,566.5
21,0.031653,595.1
22,0.031640,623.2
23,0.031632,652.0
24,0.031611,680.0
25,0.031606,708.0
26,0.031193,736.0
27,0.031124,764.4
28,0.031091,792.4
29,0.031064,820.5
30,0.031070,848.5
31,0.031062,876.8
32,0.031051,904.8
33,0.031038,932.8
34,0.031040,960.9
35,0.031037,989.0
36,0.031028,1017.0
37,0.031020,1045.0
38,0.031020,1073.0
39,0.031020,1100.9
40,0.031012,1128.9
