1,0.036462,28.8
2,0.034533,57.1
3,0.034033,85.7
4,0.033677,113.8
5,0.033410,142.2
6,0.033186,170.1
7,0.032999,199.8
8,0.032858,229.5
9,0.032758,257.9
10,0.032674,286.3
11,0.032603,315.6
12,0.032543,344.6
13,0.032501,372.9
14,0.032464,402.9
15,0.032428,431.6
16,0.032389,460.4
17,0.032356,490.5
18,0.032328,519.2
19,0.032301,547.6
20,0.032271,576.5
21,0.032253,606.2
22,0.032237,634.7
23,0.032223,663.3
24,0.032195,692.2
25,0.032186,720.9
26,0.031802,750.2
27,0.031756,779.5
28,0.031723,808.2
29,0.031699,836.7
30,0.031714,865.4
31,0.031706,894.7
32,0.031692,924.0
33,0.031678,952.5
34,0.031687,980.8
35,0.031683,1009.2
36,0.031671,1038.2
37,0.031663,1067.1
38,0.031666,1095.4
39,0.031667,1123.7
40,0.031655,1152.1
41,0.031650,1180.9
42,0.031648,1209.2
43,0.031654,1237.7
44,0.031643,1266.6
45,0.031637,1295.8
46,0.031634,1324.0
47,0.031641,1352.6
48,0.031631,1381.0
49,0.031628,1409.4
50,0.031621,1437.7
51,0.031589,1466.5
52,0.031574,1495.0
53,0.031564,1523.5
54,0.031548,1553.1
55,0.031578,1581.4
56,0.031566,1609.7
57,0.031560,1638.2
58,0.031549,1666.7
59,0.031576,1695.7
60,0.031561,1724.3
61,0.031559,1753.1
62,0.031550,1781.6
63,0.031570,1809.9
64,0.031562,1838.4
65,0.031555,1866.8
66,0.031550,1895.4
67,0.031565,1924.4
68,0.031563,1953.2
69,0.031554,1982.5
70,0.031547,2011.9
71,0.031566,2041.6
72,0.031560,2070.8
73,0.031551,2100.0
74,0.031547,2128.9
75,0.031566,2157.0
76,0.031555,2185.1
77,0.031543,2213.2
78,0.031541,2241.3
79,0.031555,2269.3
80,0.031553,2297.4
