1,0.035896,28.3
2,0.033919,56.2
3,0.033447,84.4
4,0.033087,112.3
5,0.032762,140.4
6,0.032529,168.5
7,0.032374,196.7
8,0.032256,225.4
9,0.032170,253.7
10,0.032091,281.7
11,0.032011,310.0
12,0.031934,337.9
13,0.031884,366.3
14,0.031838,394.2
15,0.031796,422.3
16,0.031760,450.3
17,0.031735,478.2
18,0.031717,506.1
19,0.031697,534.1
20,0.031670,562.0
21,0.031653,590.9
22,0.031640,618.9
23,0.031632,646.9
24,0.031611,674.8
25,0.031606,702.8
26,0.031193,730.7
27,0.031124,758.7
28,0.031091,786.7
29,0.031064,815.0
30,0.031070,843.2
31,0.031062,871.7
32,0.031051,899.7
33,0.031038,928.3
34,0.031040,956.7
35,0.031037,984.7
36,0.031028,1012.9
37,0.031020,1041.2
38,0.031020,1069.2
39,0.031020,1097.2
40,0.031012,1125.2
41,0.031006,1153.5
42,0.031002,1181.5
43,0.031008,1209.5
44,0.031000,1237.4
45,0.030994,1265.4
46,0.030990,1293.3
47,0.030996,1321.7
48,0.030988,1353.3
49,0.030985,1381.4
50,0.030978,1409.5
51,0.030945,1437.8
52,0.030929,1465.8
53,0.030915,1494.2
54,0.030895,1522.4
55,0.030926,1550.8
56,0.030918,1578.9
57,0.030909,1606.9
58,0.030897,1634.8
59,0.030924,1662.8
60,0.030912,1691.2
61,0.030908,1720.8
62,0.030899,1749.4
63,0.030917,1777.3
64,0.030913,1806.5
65,0.030904,1834.7
66,0.030901,1862.8
67,0.030911,1890.8
68,0.030914,1918.9
69,0.030903,1947.1
70,0.030898,1975.1
71,0.030913,2003.5
72,0.030911,2031.5
73,0.030900,2059.5
74,0.030897,2087.5
75,0.030912,2115.7
76,0.030906,2143.9
77,0.030892,2172.3
78,0.030890,2200.5
79,0.030898,2228.5
80,0.030903,2256.5
